Name,ICAO,IATA,Latitude,Longitude,Type
Basanth Nagar Airport,VORG,RMD,18.701,79.3923,small_airport
Ramnad Naval Air Station,VORM,,9.32509,78.971497,small_airport
Raichur Airport,VORR,,16.279722,77.360278,small_airport
Rajahmundry Airport,VORY,RJA,17.105799,81.813204,medium_airport
Salem Airport,VOSM,SXV,11.78330039978,78.06559753418,medium_airport
Coimbatore Air Force Station,VOSX,,11.0136,77.159698,small_airport
Thanjavur Air Force Station,VOTJ,TJV,10.723835,79.109457,small_airport
Tuticorin Airport,VOTK,TCR,8.724241,78.025803,small_airport
Tirupati International Airport,VOTP,TIR,13.631988,79.539869,large_airport
Tiruchirappalli International Airport,VOTR,TRZ,10.762915,78.717741,large_airport
Thiruvananthapuram International Airport,VOTV,TRV,8.481889,76.920029,large_airport
Tambaram Air Force Station,VOTX,,12.9072,80.121902,small_airport
Vellore Airport,VOVR,,12.9088,79.066803,small_airport
Warangal Airport,VOWA,WGC,17.9144,79.602203,small_airport
Yelahanka Air Force Station,VOYK,,13.135499954223633,77.60600280761719,small_airport
